,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
29235,Sivapuram,Sivapuram,11.9075,75.6048,India,IN,IND,Kerala,,16047.0,1356093379
29240,Mayilūr,Mayilur,9.942,76.6395,India,IN,IND,Kerala,,16044.0,1356160263
29246,Penugonda,Penugonda,16.6547,81.7445,India,IN,IND,Andhra Pradesh,,16038.0,1356098929
29257,Kāyanna,Kayanna,11.4917,75.8417,India,IN,IND,Kerala,,16028.0,1356103591
29270,Rāhon,Rahon,31.0527,76.1191,India,IN,IND,Punjab,,16016.0,1356318645
29271,Marahōm,Marahom,33.8303,75.0832,India,IN,IND,Jammu and Kashmīr,,16015.0,1356971041
29284,Rāni Shakarpura,Rani Shakarpura,25.5534,86.2992,India,IN,IND,Bihār,,16007.0,1356333671
29285,Sapatgrām,Sapatgram,26.3373,90.1236,India,IN,IND,Assam,,16006.0,1356558749
29287,Utnūr,Utnur,19.3667,78.7667,India,IN,IND,Telangāna,,16005.0,1356434516
29290,Kumaranallūr,Kumaranallur,9.6167,76.5833,India,IN,IND,Kerala,,16004.0,1356487798
29296,Sughrāin,Sughrain,25.746,86.325,India,IN,IND,Bihār,,16001.0,1356055718
29335,Asāra,Asara,29.2494,77.2915,India,IN,IND,Uttar Pradesh,,16000.0,1356236054
29336,Dandu Mailāram,Dandu Mailaram,17.2333,78.7667,India,IN,IND,Telangāna,,16000.0,1356228452
29338,Wātrāp,Watrap,9.6353,77.6389,India,IN,IND,Tamil Nādu,,15999.0,1356997468
29344,Neriyamangalam,Neriyamangalam,10.05,76.7833,India,IN,IND,Kerala,,15994.0,1356528747
29355,Nanāttupārai,Nanattuparai,9.379,76.8779,India,IN,IND,Kerala,,15988.0,1356215333
29361,Rāiganj Bāzār,Raiganj Bazar,26.78,82.143,India,IN,IND,Uttar Pradesh,,15985.0,1356584709
29373,Jāwalgeri,Jawalgeri,15.8656,76.8156,India,IN,IND,Karnātaka,,15980.0,1356240955
29376,Kizhūr,Kizhur,11.9667,75.6667,India,IN,IND,Kerala,,15979.0,1356780224
29377,Kudali,Kudali,9.15,76.85,India,IN,IND,Kerala,,15979.0,1356161068
29386,Chittayankottai,Chittayankottai,10.2686,77.8327,India,IN,IND,Tamil Nādu,,15970.0,1356245549
29387,Neykkārappatti,Neykkarappatti,10.4489,77.4627,India,IN,IND,Tamil Nādu,,15970.0,1356172097
29395,Valavakāttumūla,Valavakattumula,9.98,76.52,India,IN,IND,Kerala,,15966.0,1356082162
29396,Obra,Obra,24.891,84.3742,India,IN,IND,Bihār,,15966.0,1356681679
29397,Mohanpur,Mohanpur,25.562,85.5917,India,IN,IND,Bihār,,15966.0,1356241175
29398,Amarwāra,Amarwara,22.2978,79.1694,India,IN,IND,Madhya Pradesh,,15966.0,1356152620
29400,Bahutāl,Bahutal,24.5714,87.8971,India,IN,IND,West Bengal,,15963.0,1356754233
29409,Pātapatnam,Patapatnam,18.75,84.0833,India,IN,IND,Andhra Pradesh,,15954.0,1356118629
29411,Tagazhi,Tagazhi,9.3707,76.4115,India,IN,IND,Kerala,,15951.0,1356160800
29430,Brahmadesam,Brahmadesam,11.5449,77.5803,India,IN,IND,Tamil Nādu,,15937.0,1356163048
29435,Manatanna,Manatanna,11.9125,75.7569,India,IN,IND,Kerala,,15935.0,1356547055
29453,Karambakkudi,Karambakkudi,10.4587,79.141,India,IN,IND,Tamil Nādu,,15913.0,1356141439
29462,Sāyalkudi,Sayalkudi,9.1692,78.447,India,IN,IND,Tamil Nādu,,15908.0,1356108648
29463,Suchindram,Suchindram,8.1544,77.467,India,IN,IND,Tamil Nādu,,15908.0,1356095431
29476,Heggadadevankote,Heggadadevankote,12.0881,76.3296,India,IN,IND,Karnātaka,,15899.0,1356368626
29495,Vijayapuri North,Vijayapuri North,16.6028,79.3075,India,IN,IND,Telangāna,,15887.0,1356296261
29500,Vellikulangara,Vellikulangara,10.3667,76.4167,India,IN,IND,Kerala,,15883.0,1356104442
29503,Dighirpār,Dighirpar,22.3034,88.6678,India,IN,IND,West Bengal,,15881.0,1356585729
